id,sku,name,short_description,price,list_price,discount,discount_rate,review_count,inventory_status,stock_item_qty,stock_item_max_sale_qty
271442564,2580174893192,"Sổ planner 52 tuần 2024 SDstationery “Treasure the Journey” gáy lò xo, họa tiết màu pastel trang nhã 14x20.3cm","Sổ planner 52 tuần 2024 SDstationery TREASURE THE JOURNEY được thiết kế tối ưu cho việc lập kế hoạch và quản lý công việc của bạn.Bố cục gồm lịch tuần, lịch tháng với ô lịch rộng thoáng, dễ nhìn; tra...",75600,132000,56400,43,6,available,1000,1000
249009518,3330357542218,"Sổ kế hoạch planner 18 tháng 2023-2024 SDstationery DREAM CRAFTER 48 trang 16,5x20,5cm","Sổ planner 18 tháng của SDstationery DREAM PLANNER được thiết kế tối ưu cho việc quản lý kế hoạch của bạn:- Ô lịch rộng, nhiều không gian để ghi chú.- Bố cục thoáng, không rối mắt giúp bạn tiện theo...",19500,39000,19500,50,6,available,1000,1000
273046888,4264144877182,Lãnh đạo là ngôn ngữ - Leadership is language,Rất ít người trong chúng ta nhận ra rằng ngôn ngữ (phong cách giao tiếp) của mình ở nơi làm việc cản trở khả năng giải quyết vấn đề một cách sáng tạo và đôi khi làm gia tăng sự bất ổn và căng thẳng gi...,349000,349000,0,0,6,available,1000,1000
23416722,6101272032509,How The Body Works - Hiểu Hết Về Cơ Thể,"Truyền thông ngập tràn những khám phá và những lời khuyên mới mẻ về những thứ chúng ta nạp vào cơ thể nhưng có cơ sở khoa học nào cho bất kỳ tuyên bố đó không?Với những hình minh họa rõ ràng, dễ hiểu...",210000,300000,90000,30,1011,available,1000,1000
601472,3101148766173,Cổ Tích Việt Nam Bằng Thơ (Ấn Bản Kỉ Niệm 60 Năm NXB Kim Đồng),Cổ Tích Việt Nam Bằng Thơ (Ấn Bản Kỉ Niệm 60 Năm NXB Kim Đồng)   Cùng ngược dòng thời gian để tìm về kí ức tuổi thơ trong trẻo trong thế giới của những câu chuyện cổ tích thần tiên! Nối tiếp thành c...,118350,118350,0,0,4,available,1000,1000
74021317,5977911599303,Cây Cam Ngọt Của Tôi,“Vị chua chát của cái nghèo hòa trộn với vị ngọt ngào khi khám phá ra những điều khiến cuộc đời này đáng số một tác phẩm kinh điển của Brazil.”- Booklist“Một cách nhìn cuộc sống gần như hoàn chỉnh t...,75500,108000,32500,30,13287,available,1000,1000
188940817,8460723711989,Vị Thần Của Những Quyết Định,"Không có gì là ngẫu nhiên. Mọi chuyện đều là tất nhiên. Một cuốn sách tâm linh giúp bạn giải quyết những vấn đề trong cuộc sống, công việc, tình cảm… Nếu bạn đang phân vân trước những lựa chọn, nếu bạ...",54500,84000,29500,35,1161,available,1000,1000
189643105,7150413107642,Không Phải Sói Nhưng Cũng Đừng Là Cừu -Tặng kèm bookmark 2 mặt,"SÓI VÀ CỪU - BẠN KHÔNG TỐT NHƯ BẠN NGHĨ ĐÂU!Làn ranh của việc ngây thơ hay xấu xa đôi khi mỏng manh hơn bạn nghĩ.Bạn làm một việc mà mình cho là đúng, kết quả lại bị mọi người khiển trách.Bạn ủng h...",115000,128000,13000,10,0,available,1000,1000
26114399,6851692325469,"Nóng Giận Là Bản Năng , Tĩnh Lặng Là Bản Lĩnh","Sai lầm lớn nhất của chúng ta là đem những tật xấu, những cảm xúc tiêu cực trút bỏ lên những người xung quanh, càng là người thân càng dễ gây thương tổn.Cái gì cũng nói toạc ra, cái gì cũng bộc lộ hế...",64900,89000,24100,27,7204,available,1000,1000
109017985,8741635599269,"Thiên Tài Bên Trái, Kẻ Điên Bên Phải (Tái Bản)","NẾU MỘT NGÀY ANH THẤY TÔI ĐIÊN, THỰC RA CHÍNH LÀ ANH ĐIÊN ĐẤY!Hỡi những con người đang oằn mình trong cuộc sống, bạn biết gì về thế giới của mình? Là vô vàn thứ lý thuyết được các bậc vĩ nhân kiểm ch...",116000,179000,63000,35,5425,available,1000,1000
50215817,8589698344136,Combo Cẩm Nang Bé Gái Tuổi Dậy Thì - Quyển 1 Và 2 (Tái Bản 2019) (Bộ 2 Quyển),Combo Cẩm Nang Bé Gái Tuổi Dậy Thì - Quyển 1 Và 2 (Tái Bản 2019) (Bộ 2 Quyển)   Tất tần tật những thắc mắc về tâm sinh lí các bé gái tuổi dậy thì (9-18 tuổi) đều được giải đáp trong 2 cuốn sách này. ...,260500,260500,0,0,27,available,1000,1000
